External code,Vendor,Centre,Dataset,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
D7T3V8,C,4,Valid,0.9850103259086609,0.9312105774879456,0.8689587712287903,0.8603605628013611,0.9704634547233582,0.8712760210037231,0.7682821154594421,0.7549409866333008,3.7416573867739413,5.0,6.082762530298219,7.874007874011811
D8E4F4,A,1,Train,0.9942197799682617,0.9635681509971619,0.8891905546188354,0.9473576545715332,0.9885059595108032,0.929697573184967,0.8004888296127319,0.8999805450439453,4.0,3.0,4.47213595499958,5.830951894845301
D8O0W2,B,3,Valid,0.9935793876647949,0.9541794657707214,0.8620089292526245,0.9578849077224731,0.987240731716156,0.9123740196228027,0.7574830055236816,0.9191738367080688,4.0,3.1622776601683795,4.123105625617661,3.605551275463989
D9F5P1,A,1,Test,0.9767042994499207,0.9186711311340332,0.8091251254081726,0.8556396961212158,0.9544693231582642,0.8495760560035706,0.6794375777244568,0.7477013468742371,9.0,8.48528137423857,9.9498743710662,19.6468827043885
D9I8O7,B,3,Test,0.989955723285675,0.9288416504859924,0.8739591836929321,0.9377696514129639,0.9801112413406372,0.867137610912323,0.7761345505714417,0.8828307390213013,4.0,4.358898943540674,5.0,7.681145747868608
D9L1Z3,A,1,Train,0.9926905035972595,0.9647037982940674,0.8741718530654907,0.9492151737213135,0.985487163066864,0.9318143129348755,0.7764700651168823,0.9033392667770386,3.1622776601683795,2.8284271247461903,3.1622776601683795,4.123105625617661
E0J2Z9,D,5,Test,0.9873698949813843,0.9007853269577026,0.8013930320739746,0.9112755060195923,0.9750548601150513,0.819480836391449,0.6686037182807922,0.8370120525360107,5.0,5.656854249492381,4.69041575982343,15.937377450509228
E0J7L9,A,1,Test,0.969568133354187,0.869340717792511,0.772272527217865,0.875442385673523,0.9409337043762207,0.7688794732093811,0.6290259957313538,0.7784771919250488,8.06225774829855,3.4641016151377544,7.0710678118654755,5.385164807134504
E0M3U7,A,1,Train,0.9904541969299316,0.9622986912727356,0.8491862416267395,0.9490794539451599,0.9810888767242432,0.9273368716239929,0.7379006743431091,0.9030934572219849,3.605551275463989,3.605551275463989,32.817678162843876,3.7416573867739413
E0O0S0,A,1,Train,0.992626428604126,0.9555030465126038,0.8696072697639465,0.9463573098182678,0.985360860824585,0.914797306060791,0.7692965865135193,0.8981766700744629,3.0,3.4641016151377544,6.708203932499369,5.0990195135927845
